1;DUJARDIN;Jean;09/06/1972;0
2;DI CAPRIO;Leonardo;01/11/1974;1
3;FORD;Harrison;13/07/1942;1
4;CLOONEY;George;06/05/1961;1
5;SY;Omar;20/01/1978;0
6;WINSLET;Kate;05/11/1975;2
7;BEJO;Berenice;07/07/1976;0
8;PORTMAN;Natalie;09/06/1981;1
