1;LUCAS;George;14/05/1944;1
2;NACACHE;Olivier;14/04/1973;0
3;CAMERON;James;16/08/1954;3
4;HAZANAVICIUS;Michel;29/03/1967;0
5;SODERBERGH;Steven;14/01/1963;1
